序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
205,600036,招商银行,净利润保持较快增长，资产质量向好,买入,太平洋,3,,,,,,,银行Ⅱ,2017-10-31,https://pdf.dfcfw.com/pdf/H3_AP201710310992170619_1.pdf
206,600036,招商银行,2017年三季报点评：利润增长逐季提速，资产质量指标逐季好转,增持,东吴证券,3,,,,,,,银行Ⅱ,2017-10-29,https://pdf.dfcfw.com/pdf/H3_AP201710290988959334_1.pdf
207,600036,招商银行,招商银行半年报点评：不良双降；净利润重回两位数,买入,太平洋,3,,,,,,,银行Ⅱ,2017-08-23,https://pdf.dfcfw.com/pdf/H3_AP201708230822040850_1.pdf
208,600036,招商银行,2017年中报点评：息差回升盈利亮眼，资产质量持续改善,,民生证券,3,,,,,,,银行,2017-08-22,https://pdf.dfcfw.com/pdf/H3_AP201708220819173193_1.pdf
209,600036,招商银行,半年报点评：利润增速亮眼，资产状况优秀,买入,群益证券,3,,,,,,,银行,2017-08-21,https://pdf.dfcfw.com/pdf/H3_AP201708210818202966_1.pdf
210,600036,招商银行,上半年高收益资产扩张较快；二季度加大核销力度,,国金证券,3,,,,,,,银行Ⅱ,2017-08-21,https://pdf.dfcfw.com/pdf/H3_AP201708210817756661_1.pdf
211,600036,招商银行,活期存款增速亮眼，不良双降态势延续,增持,东吴证券,3,,,,,,,银行Ⅱ,2017-08-21,https://pdf.dfcfw.com/pdf/H3_AP201708210817727584_1.pdf
212,600036,招商银行,招行披露半年度业绩预告：增速亮眼，不良下降,买入,太平洋,3,,,,,,,银行Ⅱ,2017-07-26,https://pdf.dfcfw.com/pdf/H3_AP201707260745828699_1.pdf
213,600036,招商银行,2017年半年度业绩快报点评：业绩超预期，继续推荐,买入,东莞证券,3,,,,,,,银行Ⅱ,2017-07-26,https://pdf.dfcfw.com/pdf/H3_AP201707260745102398_1.pdf
214,600036,招商银行,17年中报业绩快报点评：息差改善与规模扩张共助力,,民生证券,3,,,,,,,银行Ⅱ,2017-07-25,https://pdf.dfcfw.com/pdf/H3_AP201707250743275590_1.pdf
215,600036,招商银行,业绩略超预期；二季度规模扩张带动利息收入快增,,国金证券,3,,,,,,,银行Ⅱ,2017-07-25,https://pdf.dfcfw.com/pdf/H3_AP201707250742480667_1.pdf
216,600036,招商银行,而立招银，迎风轻驰,买入,华金证券,3,,,,,,,银行Ⅱ,2017-07-06,https://pdf.dfcfw.com/pdf/H3_AP201707060697929785_1.pdf
217,600036,招商银行,深度报告：差异化竞争优势逐渐体现,买入,东莞证券,3,,,,,,,银行Ⅱ,2017-05-27,https://pdf.dfcfw.com/pdf/H3_AP201705270607172386_1.pdf
